sample_name,uploader,upload_date,overall_job_status,runtime_seconds,total_reads,nonhost_reads,nonhost_reads_percent,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_cdhitdup,sample_type,nucleotide_type,collection_location,host_genome,notes
RR034H_001_PLMaR1_S1,Vida Ahyong,2019-07-28 18:45:52 -0700,COMPLETE,2596.0,3434920,6906,0.201,3291650,1.0,46.082,4.74,130980,130656,60358,12732,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_002_WBaR1_S2,Vida Ahyong,2019-07-28 18:45:52 -0700,COMPLETE,2461.0,2219148,3802,0.171,580878,1.0,52.151,1.33,70890,69804,36970,27750,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_003_WBaR1_S3,Vida Ahyong,2019-07-28 18:45:52 -0700,COMPLETE,2623.0,1901538,2490,0.131,479724,1.0,56.856,1.21,70550,68592,40112,33062,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_004_WBaR1_S4,Vida Ahyong,2019-07-28 18:45:52 -0700,COMPLETE,2607.0,4360348,8906,0.204,4158158,1.0,46.708,4.16,165268,165044,77194,18536,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_005_WBaR1_S5,Vida Ahyong,2019-07-28 18:45:52 -0700,COMPLETE,940.0,1972590,6650,0.337,1454144,1.0,47.695,1.82,70984,70478,33856,18602,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_006_WBaR1_S6,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,2682.0,1455804,10924,0.75,1365344,1.0,56.418,2.03,73094,73010,41238,20358,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_007_WBaR1_S7,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,2360.0,864720,2032,0.235,338750,1.0,48.673,1.19,58008,53572,28234,23650,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_008_mad_W6a_S8,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,2573.0,4490636,10454,0.233,4295122,1.0,47.041,4.42,187110,186730,88018,19914,water,RNA,"Antananarivo, Madagascar",Human,""
RR034H_009_WBaR1_S9,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,3524.0,9007522,15310,0.17,6743878,1.0,53.141,6.64,447062,444962,237572,35772,whole blood,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_010_PLMaR1_S323,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,4155.0,4388272,8006,0.182,4220768,1.0,49.817,4.66,156360,156150,77894,16726,plasma,RNA,"Fianarantsoa, Madagascar",Human,""
RR034H_011_WBaR1_S10,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,2711.0,4595924,12930,0.281,3171208,1.0,48.41,2.81,203508,203068,98518,35000,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_012_WBaR1_S11,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,3717.0,21930660,2770,0.013,341076,1.0,56.353,1.58,1734680,1733894,977538,618058,whole blood,RNA,"Mahajanga, Madagascar",Human,""
RR034H_013_WBaR1_S12,Vida Ahyong,2019-07-28 18:45:53 -0700,COMPLETE,2426.0,6898600,2814,0.041,43118,1.0,51.745,1.9,408340,407862,211296,111382,whole blood,RNA,"Mahajanga, Madagascar",Human,""
