sample_name,tax_id,genus_name,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
RR034H_008_mad_W6a_S8,20,Phenylobacterium,Phenylobacterium,,2,10.2294465,0.6045301,0,0,-100
RR034H_008_mad_W6a_S8,68,Lysobacter,Lysobacter,,2,10.2294465,0.2269859,0,0,-100
RR034H_008_mad_W6a_S8,75,Caulobacter,Caulobacter,,4,20.458893,-0.2123037,4,20.458893,-0.2433413
RR034H_008_mad_W6a_S8,81,Hyphomicrobium,Hyphomicrobium,,0,0,-100,7,35.8030627,6.1213195
RR034H_008_mad_W6a_S8,82,Hyphomicrobium,Hyphomicrobium sp.,,0,0,-100,6,30.6883395,100
RR034H_008_mad_W6a_S8,191,Azospirillum,Azospirillum,,4,20.458893,1.0961604,4,20.458893,0.6115301
RR034H_008_mad_W6a_S8,192,Azospirillum,Azospirillum brasilense,,0,0,-100,4,20.458893,13.5485941
RR034H_008_mad_W6a_S8,222,Achromobacter,Achromobacter,,0,0,-100,5,25.5736162,-0.0802506
RR034H_008_mad_W6a_S8,234,Brucella,Brucella,,0,0,-100,1,5.1147232,-0.1086497
RR034H_008_mad_W6a_S8,262,Francisella,Francisella,,0,0,-100,14,71.6061254,99
RR034H_008_mad_W6a_S8,263,Francisella,Francisella tularensis,,0,0,-100,14,71.6061254,99
RR034H_008_mad_W6a_S8,265,Paracoccus,Paracoccus,,0,0,-100,1,5.1147232,-0.2492562
RR034H_008_mad_W6a_S8,283,Comamonas,Comamonas,,6,30.6883395,-0.106331,91,465.4398151,0.970027
RR034H_008_mad_W6a_S8,285,Comamonas,Comamonas testosteroni,,4,20.458893,-0.1023149,46,235.2772691,0.9865635
RR034H_008_mad_W6a_S8,286,Pseudomonas,Pseudomonas,,60,306.8833945,0.049403,53,271.0803318,0.0845626
RR034H_008_mad_W6a_S8,287,Pseudomonas,Pseudomonas aeruginosa,,18,92.0650184,0.1617722,29,148.326974,1.0048731
RR034H_008_mad_W6a_S8,292,Burkholderia,Burkholderia cepacia,,3,15.3441697,0.2965681,9,46.0325092,2.3508463
RR034H_008_mad_W6a_S8,294,Pseudomonas,Pseudomonas fluorescens,,2,10.2294465,-0.1070578,2,10.2294465,-0.0501528
RR034H_008_mad_W6a_S8,300,Pseudomonas,Pseudomonas mendocina,,5,25.5736162,2.8596225,1,5.1147232,5.1411773
RR034H_008_mad_W6a_S8,303,Pseudomonas,Pseudomonas putida,,2,10.2294465,-0.0974396,0,0,-100
RR034H_008_mad_W6a_S8,305,Ralstonia,Ralstonia solanacearum,,8,40.9177859,-0.0804007,6,30.6883395,0.005371
RR034H_008_mad_W6a_S8,329,Ralstonia,Ralstonia pickettii,,23,117.6386346,-0.1582696,15,76.7208486,-0.0464283
RR034H_008_mad_W6a_S8,338,Xanthomonas,Xanthomonas,,8,40.9177859,0.2181551,0,0,-100
RR034H_008_mad_W6a_S8,374,Bradyrhizobium,Bradyrhizobium,,59,301.7686713,-0.1925191,67,342.6864572,-0.2317618
RR034H_008_mad_W6a_S8,375,Bradyrhizobium,Bradyrhizobium japonicum,,6,30.6883395,-0.1886341,5,25.5736162,0.8379088
RR034H_008_mad_W6a_S8,379,Rhizobium,Rhizobium,,7,35.8030627,0.159486,2,10.2294465,-0.1392013
RR034H_008_mad_W6a_S8,384,Rhizobium,Rhizobium leguminosarum,,1,5.1147232,0.3980465,1,5.1147232,1.7342926
RR034H_008_mad_W6a_S8,407,Methylobacterium,Methylobacterium,,11,56.2619557,-0.2570149,4,20.458893,-0.2801044
RR034H_008_mad_W6a_S8,408,Methylorubrum,Methylorubrum extorquens,,9,46.0325092,-0.0692917,2,10.2294465,-0.1415005
RR034H_008_mad_W6a_S8,434,Acetobacter,Acetobacter,,1,5.1147232,0.3178018,0,0,-100
RR034H_008_mad_W6a_S8,445,Legionella,Legionella,,0,0,-100,1,5.1147232,0.2149156
RR034H_008_mad_W6a_S8,446,Legionella,Legionella pneumophila,,0,0,-100,1,5.1147232,0.86784
RR034H_008_mad_W6a_S8,469,Acinetobacter,Acinetobacter,,16,81.8355719,-0.1259867,2576,13175.5270722,0.9459263
RR034H_008_mad_W6a_S8,470,Acinetobacter,Acinetobacter baumannii,,2,10.2294465,-0.1171827,2560,13093.6915004,40.536841
RR034H_008_mad_W6a_S8,475,Moraxella,Moraxella,,4,20.458893,-0.1310802,0,0,-100
RR034H_008_mad_W6a_S8,497,Psychrobacter,Psychrobacter,,1,5.1147232,-0.1509983,0,0,-100
RR034H_008_mad_W6a_S8,517,Bordetella,Bordetella,,3,15.3441697,-0.0280147,0,0,-100
RR034H_008_mad_W6a_S8,528,Ochrobactrum,Ochrobactrum,,10,51.1472324,-0.039102,5,25.5736162,0.0403538
RR034H_008_mad_W6a_S8,529,Ochrobactrum,Ochrobactrum anthropi,,8,40.9177859,0.0740413,4,20.458893,0.1686022
