sample_name,tax_id,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
RR034H_006_WBaR1_S6,10509,Mastadenovirus,,4,44.2184391,-0.0153342,3,33.1638293,-0.0264101
RR034H_006_WBaR1_S6,10663,T4virus,,1,11.0546098,100,0,0,-100
RR034H_002_WBaR1_S2,12234,Tobamovirus,,8,4.8832,100,8,4.8832,100
RR034H_004_WBaR1_S4,10509,Mastadenovirus,,4,19.7833721,-0.5726945,2,9.891686,-0.7211527
RR034H_008_mad_W6a_S8,10509,Mastadenovirus,,8,40.9177859,-0.0906216,5,25.5736162,-0.2530005
RR034H_011_WBaR1_S10,10509,Mastadenovirus,,4,2.8075771,-0.9599099,4,2.8075771,-0.9326345
RR034H_011_WBaR1_S10,10663,T4virus,,2,1.4037885,100,2,1.4037885,100
RR034H_011_WBaR1_S10,12234,Tobamovirus,,3,2.1056828,100,2,1.4037885,100
RR034H_013_WBaR1_S12,10509,Mastadenovirus,,4,0.5834747,-1.0106414,4,0.5834747,-0.9990305
RR034H_015_WBaR1_S14,10509,Mastadenovirus,,10,1.9417981,-0.9796582,10,1.9417981,-0.9584805
RR034H_015_WBaR1_S14,1982251,Pa6virus,,4,0.7767192,7.0417658,4,0.7767192,14.5307978
RR034H_122_wbldRa_S120,12059,Enterovirus,,2,38.5505012,5.6470182,0,0,-100
RR034H_121_wbldRa_S119,10509,Mastadenovirus,,2,9.1592706,-0.8150287,0,0,-100
RR034H_121_wbldRa_S119,1307799,Pegivirus,,26,119.0705172,100,26,119.0705172,100
RR034H_121_wbldRa_S119,1982251,Pa6virus,,14,64.1148939,99,7,32.0574469,99
RR034H_126_wbldRa_S124,10509,Mastadenovirus,,2,42.6548371,-0.0509997,2,42.6548371,0.2569248
RR034H_126_wbldRa_S124,1307799,Pegivirus,,8,170.6193482,100,4,85.3096741,100
RR034H_126_wbldRa_S124,1982251,Pa6virus,,2,42.6548371,99,2,42.6548371,99
RR034H_125_wbldRa_S123,10509,Mastadenovirus,,8,99.9525226,1.2559522,9,112.4465879,2.3404161
RR034H_127_wbldRa_S125,10509,Mastadenovirus,,2,32.0780137,-0.2922555,1,16.0390069,-0.5376369
RR034H_132_wbldRa_S130,12234,Tobamovirus,,2,22.3254153,100,0,0,-100
RR034H_133_wbldRa_S131,1307799,Pegivirus,,36,310.8700908,100,36,310.8700908,100
RR034H_134_wbldRa_S132,10509,Mastadenovirus,,8,72.3916388,0.6272924,10,90.4895485,1.6849332
RR034H_136_wbldRa_S134,10509,Mastadenovirus,,34,382.6243529,7.7036556,36,405.1316678,11.0779362
RR034H_140_wbldRa_S138,10509,Mastadenovirus,,2,34.2536138,-0.2426304,2,34.2536138,0.0061233
RR034H_140_wbldRa_S138,12059,Enterovirus,,2,34.2536138,4.9404676,0,0,-100
RR034H_143_wbldRa_S141,1982251,Pa6virus,,2,26.6453504,99,1,13.3226752,99
RR034H_142_wbldRa_S140,10509,Mastadenovirus,,2,25.4168361,-0.444196,2,25.4168361,-0.2576808
RR034H_142_wbldRa_S140,12059,Enterovirus,,2,25.4168361,3.4874087,0,0,-100
RR034H_137_wbldRa_S135,12059,Enterovirus,,2,7.3939887,0.5238557,0,0,-100
RR034H_138_wbldRa_S136,10509,Mastadenovirus,,42,136.7463485,2.095214,60,195.3519265,4.815387
RR034H_138_wbldRa_S136,12059,Enterovirus,,4,13.0234618,1.4495275,0,0,-100
RR034H_147_wbldRa_S145,10509,Mastadenovirus,,2,5.6065125,-0.8960666,1,2.8032563,-0.9327635
RR034H_147_wbldRa_S145,1307799,Pegivirus,,208,583.0773026,100,204,571.8642775,100
RR034H_148_wbldRa_S146,10509,Mastadenovirus,,8,22.4624456,-0.5115852,6,16.8468342,-0.5135209
RR034H_150_wbldRa_S148,10509,Mastadenovirus,,4,3.7661166,-0.9380458,4,3.7661166,-0.9040192
RR034H_150_wbldRa_S148,12059,Enterovirus,,2,1.8830583,-0.3823237,0,0,-100
RR034H_145_wbldRa_S143,10509,Mastadenovirus,,16,6.6833193,-0.8715048,9,3.7593671,-0.9042207
RR034H_145_wbldRa_S143,1982251,Pa6virus,,46,19.2145429,99,40,16.7082982,99
RR034H_161_wbldRa_S159,1307799,Pegivirus,,14,45.4480529,100,14,45.4480529,100
RR034H_155_wbldRa_S153,10509,Mastadenovirus,,2,3.0195698,-0.9550744,2,3.0195698,-0.9263058
RR034H_155_wbldRa_S153,10663,T4virus,,2,3.0195698,100,2,3.0195698,100
RR034H_146_wbldRa_S144,10509,Mastadenovirus,,14,5.1624855,-0.9061948,14,5.1624855,-0.8623334
RR034H_192_wbldRa_S190,1307799,Pegivirus,,14,55.8342838,100,14,55.8342838,100
RR034H_191_wbldRa_S189,10509,Mastadenovirus,,8,21.4949755,-0.5336531,8,21.4949755,-0.37476
RR034H_162_wbldRa_S160,10509,Mastadenovirus,,16,22.5804357,-0.5088939,15,21.1691585,-0.3844866
RR034H_162_wbldRa_S160,1307799,Pegivirus,,6,8.4676634,100,5,7.0563862,100
RR034H_219_serRa_S217,10509,Mastadenovirus,,8,40.5358844,-0.0993327,10,50.6698555,0.4961969
RR034H_128_wbldRa_S126,10509,Mastadenovirus,,36,3.0991085,-0.9532601,32,2.7547631,-0.9342111
RR034H_128_wbldRa_S126,12059,Enterovirus,,4,0.3443454,-0.6353391,0,0,-100
RR034H_275_watera_S273,12059,Enterovirus,,16,63.2216155,9.7037664,10,39.5135097,100
RR034H_315_HeLaa_S316,10509,Mastadenovirus,,4,28.1044925,-0.382891,3,21.0783694,-0.387197
RR034H_315_HeLaa_S316,10663,T4virus,,52,365.3584025,100,26,182.6792013,100
RR034H_315_HeLaa_S316,12059,Enterovirus,,2,14.0522463,1.6186938,0,0,-100
RR034H_315_HeLaa_S316,153135,Gammaretrovirus,,5,35.1306156,100,5,35.1306156,100
RR034H_315_HeLaa_S316,1982251,Pa6virus,,1,7.0261231,67.2973111,0,0,-100
RR034H_318_HeLaa_S319,10509,Mastadenovirus,,4,8.6656239,-0.8262887,4,8.6656239,-0.7577543
RR034H_318_HeLaa_S319,333750,Alphapapillomavirus,,146,316.2952725,100,142,307.6296486,100
RR034H_314_HeLaa_S315,10509,Mastadenovirus,,14,82.2474709,0.8521025,10,58.7481935,0.7373593
RR034H_314_HeLaa_S315,333750,Alphapapillomavirus,,2,11.7496387,100,2,11.7496387,100
RR034H_321_HeLaa_S322,333750,Alphapapillomavirus,,1038,707.7980525,100,1037,707.1161662,100
RR034H_317_HeLaa_S318,10509,Mastadenovirus,,12,11.6355287,-0.7585456,12,11.6355287,-0.6690939
RR034H_317_HeLaa_S318,153135,Gammaretrovirus,,1,0.9696274,100,1,0.9696274,100
RR034H_317_HeLaa_S318,333750,Alphapapillomavirus,,91,88.2360926,100,93,90.1753474,100
RR034H_316_HeLaa_S317,10509,Mastadenovirus,,2,2.74371,-0.9613667,1,1.371855,-0.975495
