sample_name,tax_id,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
RR034H_001_PLMaR1_S1,3337,Pinus,,2,13.9596566,99,0,0,-100
RR034H_001_PLMaR1_S1,3689,Populus,,0,0,-100,1,6.9798283,14.1591208
RR034H_001_PLMaR1_S1,3705,Brassica,,3,20.9394849,5.323938,0,0,-100
RR034H_001_PLMaR1_S1,3987,Ricinus,,4,27.9193132,52.4769838,7,48.8587981,0.9343514
RR034H_001_PLMaR1_S1,4527,Oryza,,1,6.9798283,-0.8832542,0,0,-100
RR034H_001_PLMaR1_S1,4564,Triticum,,2,13.9596566,-0.1887066,0,0,-100
RR034H_001_PLMaR1_S1,4575,Zea,,1,6.9798283,2.1443764,0,0,-100
RR034H_001_PLMaR1_S1,7174,Culex,,19,132.6167376,2.0234227,0,0,-100
RR034H_001_PLMaR1_S1,13332,Amborella,,3,20.9394849,86.3104579,0,0,-100
RR034H_001_PLMaR1_S1,99157,Hammondia,,2,13.9596566,-0.6593371,0,0,-100
RR034H_008_mad_W6a_S8,3337,Pinus,,0,0,-100,2,10.2294465,1.1605149
RR034H_008_mad_W6a_S8,3689,Populus,,0,0,-100,1,5.1147232,10.2481537
RR034H_008_mad_W6a_S8,3705,Brassica,,2,10.2294465,2.0757355,3,15.3441697,-0.0042149
RR034H_008_mad_W6a_S8,3987,Ricinus,,0,0,-100,13,66.4914022,1.5256944
RR034H_008_mad_W6a_S8,4480,Aegilops,,2,10.2294465,2.9248292,0,0,-100
RR034H_008_mad_W6a_S8,4527,Oryza,,3,15.3441697,-0.1713772,0,0,-100
RR034H_008_mad_W6a_S8,4564,Triticum,,2,10.2294465,-0.4148101,0,0,-100
RR034H_008_mad_W6a_S8,4930,Saccharomyces,,3,15.3441697,0.4787064,0,0,-100
RR034H_008_mad_W6a_S8,7174,Culex,,27,138.0975275,2.1329076,0,0,-100
RR034H_008_mad_W6a_S8,35719,Thielavia,,1,5.1147232,2.3545778,0,0,-100
RR034H_008_mad_W6a_S8,45234,Cordyceps,,1,5.1147232,0.8152405,0,0,-100
RR034H_008_mad_W6a_S8,45350,Nematostella,,1,5.1147232,2.7085239,1,5.1147232,3.7171699
RR034H_008_mad_W6a_S8,81055,Wolfiporia,,6,30.6883395,2.4507453,0,0,-100
RR034H_008_mad_W6a_S8,99157,Hammondia,,7,35.8030627,-0.0675112,1,5.1147232,-0.6687371
RR034H_008_mad_W6a_S8,199487,Hyalella,,4,20.458893,2.9488803,0,0,-100
RR034H_008_mad_W6a_S8,345571,Melanaphis,,1,5.1147232,4.4381492,0,0,-100
RR034H_010_PLMaR1_S323,3987,Ricinus,,0,0,-100,26,155.2201738,4.5013825
RR034H_010_PLMaR1_S323,4480,Aegilops,,0,0,-100,2,11.9400134,11.1461679
RR034H_010_PLMaR1_S323,4564,Triticum,,2,11.9400134,-0.3111255,0,0,-100
RR034H_010_PLMaR1_S323,5340,Agaricus,,5,29.8500334,17.4088358,0,0,-100
RR034H_010_PLMaR1_S323,7174,Culex,,37,220.8902474,3.786784,0,0,-100
RR034H_010_PLMaR1_S323,45350,Nematostella,,2,11.9400134,6.9196643,4,23.8800267,20.057275
RR034H_010_PLMaR1_S323,99157,Hammondia,,4,23.8800267,-0.3905543,0,0,-100
RR034H_010_PLMaR1_S323,199487,Hyalella,,1,5.9700067,0.5019872,0,0,-100
RR034H_210_serRa_S208,3319,Abies,,0,0,-100,1,6.3847175,100
RR034H_210_serRa_S208,3325,Larix,,3,19.1541526,100,0,0,-100
RR034H_210_serRa_S208,3328,Picea,,7,44.6930228,99,5,31.9235877,100
RR034H_210_serRa_S208,3337,Pinus,,493,3147.6657473,99,206,1315.2518133,99
RR034H_210_serRa_S208,3705,Brassica,,1,6.3847175,0.9096838,0,0,-100
RR034H_210_serRa_S208,3971,Viscum,,2,12.7694351,100,0,0,-100
RR034H_210_serRa_S208,3987,Ricinus,,1,6.3847175,11.655737,4,25.5388702,0.1522733
RR034H_210_serRa_S208,4480,Aegilops,,8,51.0777403,17.0976841,2,12.7694351,11.9720219
RR034H_210_serRa_S208,4512,Hordeum,,10,63.8471754,10.5174135,0,0,-100
RR034H_210_serRa_S208,4527,Oryza,,6,38.3083052,1.7830672,4,25.5388702,0.7640496
RR034H_210_serRa_S208,4564,Triticum,,12,76.6166105,3.609191,0,0,-100
RR034H_210_serRa_S208,4583,Cenchrus,,6,38.3083052,100,0,0,-100
RR034H_210_serRa_S208,5340,Agaricus,,1,6.3847175,3.1604899,0,0,-100
RR034H_210_serRa_S208,5820,Plasmodium,,13,83.001328,2.7888392,0,0,-100
RR034H_210_serRa_S208,7174,Culex,,20,127.6943508,1.9250926,0,0,-100
RR034H_210_serRa_S208,45350,Nematostella,,1,6.3847175,3.4920985,0,0,-100
RR034H_210_serRa_S208,99157,Hammondia,,3,19.1541526,-0.5185973,3,19.1541526,-0.143207
RR034H_210_serRa_S208,345571,Melanaphis,,10,63.8471754,61.9169879,0,0,-100
RR034H_203_serRa_S201,3319,Abies,,6,99.730727,100,1,16.6217878,100
RR034H_203_serRa_S201,3328,Picea,,4,66.4871514,99,4,66.4871514,100
RR034H_203_serRa_S201,3337,Pinus,,416,6914.6637412,99,193,3208.005053,99
RR034H_203_serRa_S201,3764,Rosa,,1,16.6217878,16.7698546,0,0,-100
RR034H_203_serRa_S201,3987,Ricinus,,0,0,-100,5,83.1089392,2.0829951
RR034H_203_serRa_S201,4527,Oryza,,2,33.2435757,1.3520154,6,99.730727,5.3294214
RR034H_203_serRa_S201,5340,Agaricus,,1,16.6217878,9.3765289,0,0,-100
RR034H_203_serRa_S201,5598,Alternaria,,3,49.8653635,0.6599707,0,0,-100
RR034H_203_serRa_S201,5820,Plasmodium,,4,66.4871514,1.9866934,0,0,-100
RR034H_203_serRa_S201,7174,Culex,,4,66.4871514,0.7024109,0,0,-100
RR034H_203_serRa_S201,33194,Bipolaris,,1,16.6217878,0.3937551,0,0,-100
RR034H_203_serRa_S201,45234,Cordyceps,,1,16.6217878,4.6952514,0,0,-100
RR034H_203_serRa_S201,45350,Nematostella,,0,0,-100,1,16.6217878,13.7370795
RR034H_203_serRa_S201,199487,Hyalella,,1,16.6217878,2.3008673,0,0,-100
RR034H_216_serRa_S214,3328,Picea,,25,184.9714404,99,0,0,-100
RR034H_216_serRa_S214,3337,Pinus,,1,7.3988576,99,0,0,-100
RR034H_216_serRa_S214,3705,Brassica,,10,73.9885762,21.412974,0,0,-100
RR034H_216_serRa_S214,3764,Rosa,,9,66.5897185,68.5272989,0,0,-100
RR034H_216_serRa_S214,4480,Aegilops,,1,7.3988576,1.942719,0,0,-100
RR034H_216_serRa_S214,4512,Hordeum,,1,7.3988576,0.6070366,0,0,-100
RR034H_216_serRa_S214,4527,Oryza,,16,118.3817219,8.5980001,0,0,-100
RR034H_216_serRa_S214,4564,Triticum,,7,51.7920033,2.1044687,0,0,-100
RR034H_216_serRa_S214,4575,Zea,,10,73.9885762,29.2628841,0,0,-100
RR034H_216_serRa_S214,4930,Saccharomyces,,3,22.1965728,0.9078103,0,0,-100
RR034H_216_serRa_S214,5073,Penicillium,,6,44.3931457,7.734413,0,0,-100
RR034H_216_serRa_S214,13332,Amborella,,1,7.3988576,30.2081557,0,0,-100
RR034H_216_serRa_S214,45350,Nematostella,,0,0,-100,1,7.3988576,5.7061063
RR034H_216_serRa_S214,199487,Hyalella,,1,7.3988576,0.7432925,0,0,-100
RR034H_207_serRa_S205,3328,Picea,,0,0,-100,1,6.2023197,100
RR034H_207_serRa_S205,3337,Pinus,,139,862.1224338,99,53,328.7229424,51.9959239
RR034H_207_serRa_S205,3705,Brassica,,5,31.0115983,8.378667,2,12.4046393,-0.1801325
RR034H_207_serRa_S205,3764,Rosa,,1,6.2023197,5.9772314,0,0,-100
RR034H_207_serRa_S205,3987,Ricinus,,0,0,-100,15,93.034795,2.4158775
RR034H_207_serRa_S205,4527,Oryza,,1,6.2023197,-0.9494268,5,31.0115983,1.1008122
RR034H_207_serRa_S205,13332,Amborella,,1,6.2023197,25.2505911,0,0,-100
RR034H_204_serRa_S202,3319,Abies,,0,0,-100,4,31.5646602,100
RR034H_204_serRa_S202,3328,Picea,,3,23.6734952,99,11,86.8028156,100
RR034H_204_serRa_S202,3337,Pinus,,495,3906.1267005,99,223,1759.7298065,99
RR034H_204_serRa_S202,3705,Brassica,,4,31.5646602,8.5464028,1,7.8911651,-0.4502436
